evaluation_id,customer_tweet_id,customer_text,intent,ideal_action,notes
3481eca0-e858-4e14-9c85-619387fa6b15,588003,Replacement MacBook Pro does the same shit as the previous. @115858 needs to figure this shit out. @258943 I bet yours does this too? 😂 #MacBookProProblems,device_hardware_problems,escalate,5
312da428-a364-482e-b8c1-0069b3c66ee0,631782,": @115858 Siri still places a space before my first word when I dictate, live setting on camera ignores preserve toggle, rotation issues with keyboard... all low hanging fruit that make iOS feel cheap.",ios_update_problems,auto,Keyboard and dictation issues; suitable for automated troubleshooting.
df21de3a-b22e-4121-9648-68660d9a1f53,457209,"@AppleSupport Oh cool thanks, it’s no longer in my achievements though - you reckon it’ll still pull through within 9 days?",app_or_system_crashes,auto,
5f19549e-4898-416a-9d0e-16ea91e7bfa5,1645135,Ayo @115858 wtf is this question mark box I keep getting ???,ios_update_problems,auto,
6eb2e58b-a16d-4945-b964-09e67f8edd5e,1993599,i’m soo mad my phone is not working right i think it has s virus @AppleSupport,app_or_system_crashes,escalate,
21c6d550-fc62-40ac-91e0-af132423542d,1680809,@115858 Also your “fix” doesn’t work!!!,app_or_system_crashes,escalate,
f15c7a8b-863c-4a3f-8044-b6ada5a77d46,400377,Is it normal to have an iPhone 7 as fast as an iPhone 4 after you put IOS 11 @AppleSupport ?,app_or_system_crashes,auto,
9adab499-f56c-4a39-901f-d80cb107a528,2831720,@AppleSupport That’s exactly what I did. Set it up as a new iPhone phone and it still freezes. 😞,app_or_system_crashes,auto,auto-accepted via script
3cf3c57a-171b-48d3-a1f9-05bd8fc5bae8,1966780,@AppleSupport ios 11 drains battery can you fix this,battery_drain,escalate,auto-accepted via script
40390f45-7294-4b15-8a10-333dd53b27ef,587095,"@115858 I've a problem, the mac isnt overheat but the fan is on max, not only that it's turn on as soon as i start up the mac and tht it make the mac run reallt slow Went to the genius bar they reset my whole laptop problem solve but when im home the laptop still have the problem",app_or_system_crashes,auto,auto-accepted via script
12f294e5-8358-401d-b81b-c493c0edb0e7,208582,"@AppleSupport not happy that on ordering it tells me ""signature required for delivery"" and then the shipping email tells me ""no signature""",shipping_store_support,auto,auto-accepted via script
d3062548-2675-4531-8de8-28d566fedeaf,1535723,"@115858 @117735 hey if you guys wanna help given that it was bought through you since your phone service people won't help, lmk",ios_update_problems,auto,auto-accepted via script
497cd831-096a-4c97-9a86-202ae36450ba,1281484,@419824 @115858 This happened to me a week or so ago. It seems the update reactivated the Background App Refresh. Once I turned it off it was fine.,ios_update_problems,auto,auto-accepted via script
ae2e8812-5161-4a9a-95c3-556c954bf6f6,162841,"@AppleSupport my phone isn’t downloading any apps that I haven’t already downloaded before, like it’ll get to the process where it starts to but it never does",app_or_system_crashes,auto,auto-accepted via script
fc89ccb7-f3a4-4370-9609-480a9b9ba3d0,121531,@AppleSupport My laptop’s doing this again,app_or_system_crashes,auto,auto-accepted via script
f6e3b014-1538-420f-b665-7ba7ce92f1f1,2705002,@115858 software update plz. I’m fed up with this,ios_update_problems,auto,auto-accepted via script
1f9aa6fa-0715-4d22-8fd0-afc542ab8c00,2020071,@AppleSupport Thanks I think I figured it out.,app_or_system_crashes,auto,auto-accepted via script
5019cbb7-e95a-4729-9ec9-10b79302d9d8,2569413,Just gave my I.T virus to my producer. What the hell is going on with our phones??? #iphone @115858 @AppleSupport,app_or_system_crashes,auto,auto-accepted via script
0a6c7033-7f99-4eb7-8efc-19c58ae32afa,245992,"@AppleSupport my #iphone7’s battary life time has decreased sharply with this #IOS11 , I need to charge it twice daily !!",battery_drain,auto,auto-accepted via script
1eec2f37-78bd-417a-b97a-6f48affc5a4b,2502125,@AppleSupport I updated to 11.1.2 when the software was released. It still hasn’t helped unfortunately,ios_update_problems,auto,auto-accepted via script
c217df8a-e2e4-4d54-906d-ed092ad702df,1151930,"@AppleSupport Every time when i use wahtsapp, instagram and Twitter",app_or_system_crashes,auto,auto-accepted via script
eaf17a91-5c41-4776-9878-33b158537466,1477586,@115858 these new updates are awful. Still glitchy and what is this ➡️ I️,ios_update_problems,auto,auto-accepted via script
ca44096b-234f-4257-8a1c-0d9d428812ad,1758970,Hey @AppleSupport what’s up with this I️ thing on all my social media,app_or_system_crashes,auto,auto-accepted via script
99ea5623-82d0-400a-be64-76f3b8b4b4ff,2981642,@AppleSupport still no haptic feedback on iPhone keyboard 📱 after new update. ??? Has this been disabled.,ios_update_problems,auto,auto-accepted via script
34533b9b-9138-44ae-a089-a59015ff25f3,1761312,@116333 plz do something for iphone 7plus battery. Its getting drained very quickly @AppleSupport @115858 @1542 @16166,battery_drain,auto,auto-accepted via script
50e59a10-c253-46d9-a0b5-2109e828f2db,1569682,"@115858 over an hour on hold, failing to speak to someone at Southampton store!",shipping_store_support,auto,auto-accepted via script
c83c8778-c488-4d3f-97f6-b0490b6177d3,1890328,@AppleSupport notifications issue in iOS 11.0.3-N on for phone&apps but banners do not show. Hard reset but still not working. Ideas?,ios_update_problems,auto,auto-accepted via script
294a7211-2efd-4b54-9405-d52044e1c57a,1659077,@AppleSupport everytime I️ type an “I️” it corrects it to this and I️ can’t stop it??,app_or_system_crashes,auto,auto-accepted via script
bcbc8c70-b3fd-434f-a4e8-a78dce653586,1760225,@115858 I found a bug in your software. When I flip my settings screen up from the bottom and turn off my WiFi ...,device_hardware_problems,escalate,auto-accepted via script
26d73750-2704-4f67-b06f-d4c7b91afc63,2053002,@115858 @AppleSupport I tried to update my phone but it won't even start back up.. it was fine before this... why.,ios_update_problems,auto,auto-accepted via script
b76fc0a1-ed77-4ce8-8984-148e8f3b43e2,1736096,Is this update serious with the “I️” problem @115858,ios_update_problems,auto,auto-accepted via script
e89ada5c-3a6c-4379-9a97-d3d781bb0b4f,2241906,"@AppleSupport thanks for the new emojis but my phone is still broken please advise. need to make calls, cannot. #iphone #apple #plannedobsolesence #brokeniphone #softwareupdate11",ios_update_problems,escalate,auto-accepted via script
da0ccb6a-0c0e-491c-843c-d9c5cf285067,1033613,@AppleSupport My iPhone 7 screen has accidentally cracked :( What should I do? Plz help.,app_or_system_crashes,escalate,auto-accepted via script
a11b2f96-2620-43ea-ac8b-dd806bcfca18,1224353,@AppleSupport @115948 @115858 ooooor at least if one is playing music downloaded there wont be an interruption for either #ThinkAboutIt,apple_music_itunes,auto,auto-accepted via script
cab0f1d0-68f2-4651-9fec-bfa4e3a827cc,2684308,@AppleSupport How can I fix this.,app_or_system_crashes,escalate,auto-accepted via script
8ed481ce-e3ee-48c0-9703-469ee42ac629,1957980,@AppleSupport I’ve only noticed it on WhatsApp so far. But it’s been happening since the first iOS11 update,ios_update_problems,auto,auto-accepted via script
ae4099aa-71d3-42a7-9ea8-db78fe6e079b,880328,Hey @115858 your update has destroyed the life of my phone. What used to be all day is now 3 hrs and dead. #thissux,ios_update_problems,auto,auto-accepted via script
e1e6754e-883d-4924-8943-fc253cda02de,2208883,Why isn’t the password sync working? Please don’t tell me to log out and in or clean install or something! @AppleSupport,app_or_system_crashes,auto,auto-accepted via script
70725ecb-17a4-499a-8774-66654044a901,1902794,@AppleSupport iPhone 5S keeps dying on 40%+ while on Snapchat app and 30%+ while on Netflix app. No extreme external temperatures. Why?,app_or_system_crashes,auto,auto-accepted via script
d89f252e-28e5-4fa6-b3b0-a2a0a9264041,787448,@AppleSupport iPhone 7 Plus. This is the 3rd time I’ve seen it. Restart hasn’t worked. Also saw it with 11.0.1,app_or_system_crashes,auto,auto-accepted via script
84a02d2b-a6e9-416d-9f06-7e56baabcf33,272918,@115858 @AppleSupport I got this email and it takes you to this site. This is a scam right?,app_or_system_crashes,escalate,auto-accepted via script
3a079f2e-2433-4443-83ed-27cc2932e4ed,629656,@AppleSupport,app_or_system_crashes,auto,auto-accepted via script
28e897dc-892e-4b4f-be5e-a23b502d11cf,848087,@321560 @AppleSupport I have an iPad Air 2 so it's def. not that. iOS 11 is a bit odd!,ios_update_problems,auto,auto-accepted via script
