customer_tweet_id,customer_author_id,customer_text,reply_tweet_id,reply_text,created_at
2287442,664598,Currently pissed because my Siri doesn’t hear me and Snapchat also can’t record sound now. What’s going on @115858 ????? I’m so tempted to switch back to android😒,2287441,@664598 we wouldn't expect that to happen at all. We'll be happy to assist. Is your mic working when recording a video in the Camera app?,Sun Nov 12 01:08:52 +0000 2017
2438522,699447,"Look y’all don’t own my I’s, okay!?@115858 I’m gonna need y’all to give those muthafuckas back before I️ see what that #Pixel2XL is all about Ight?!? Got me over feeling/looking like I’m still using T9word or some shit 🙄 Tf!",2438521,"@699447 We recently released an iOS update, 11.1.1, that contains a fix for this issue. Let’s be sure to back up your device prior to updating. How to back up:",Tue Nov 14 22:02:00 +0000 2017
228545,170489,"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐",228544,"@170489 We want to make sure your iPhone is there for you when you need it. So we can get started, let's pair up in DM to take a closer look at this.",Wed Nov 15 13:24:01 +0000 2017
2838717,421655,"@AppleSupport Just random times, no particular app/situation I can discern causes it. When happens, can touch screen all I want, but will not register touch and will time out & shut screen off. Come back on & it's fine, until next time that is.",2838719,@421655 Let's move over to DM to continue working on this.,Mon Nov 27 18:28:00 +0000 2017
292376,163247,@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,292375,"@163247 Let us know which apps you're having trouble with, and what happens when you try to open them. We're here for you!",Fri Oct 06 16:40:01 +0000 2017
2052630,270883,"@AppleSupport Will keep you posted but everything is is slower, apps take longer to open etc",2052631,@270883 Sounds good. Let us know in DM when you've had a bit of time to evaluate it since the update. We're here to get this sorted out.,Fri Oct 06 20:53:31 +0000 2017
122318,143274,@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!...,122317,@143274 Thanks for reaching out. We're here to help. DM us so we can look into this further with you.,Fri Nov 24 00:22:27 +0000 2017
2709122,760765,@AppleSupport Ya Right airpod is working good tried recpairing 10-20 times later searched googld and found in some forum few users were having trouble with new ones Left one was not working for most they went to store and got it replaced n new ones work good,2709121,@760765 Does this happen when pairing them with multiple audio sources? DM us the answer.,Mon Nov 20 01:25:30 +0000 2017
460863,224487,"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport?",460862,@224487 Let's see what's going on with Siri. Can you tell us in DM the current iOS version and device you're using with Siri?,Fri Dec 01 02:01:00 +0000 2017
1534981,476001,@AppleSupport 11.1. All kinds of issues.,1534983,@476001 We want to help you get things working smoothly. DM us and let us know what is going on and we'll go from there.,Tue Nov 07 01:39:30 +0000 2017
1925446,573096,"@115858 guys please lah fix your IOS , my fon have been stuck and restarting more than 5 times a day everyday.",1925445,@573096 Let’s work together to get this addressed. What exact version of iOS are you using? Let us know via a DM. We’ll go from there.,Fri Oct 27 14:47:06 +0000 2017
1712426,518680,Eye can’t stand this shit man. We’re losing our minds. @115858,1712425,@518680 Here’s what you can do to work around the issue until it’s fixed in a future software update:,Tue Nov 07 02:26:00 +0000 2017
2310635,670141,Had another iPhone update but still seeing ! And boxed ? This is getting old @115858,2310634,@670141 Let's take a look at this issue together. Send us a DM and we'll get started.,Mon Nov 13 04:33:00 +0000 2017
2143374,630167,@AppleSupport This glitch with the letter following H is affecting my ability to work on the road. Unacceptable.,2143373,@630167 Here’s what you can do to work around the issue until it’s fixed in a future software update:,Wed Nov 08 23:23:31 +0000 2017
827906,317222,my Apple Music hasn’t worked since I got the newest update...what’s goin on @115858,827905,@317222 We're here to help! Send us a DM with details on what you are experiencing to continue.,Sun Oct 08 23:04:28 +0000 2017
2802461,196914,Annoys me (hugely) everytime @126's auto-play video setting ignores my mute option on my @115858 iPhone and makes a huge noise. How is this even allowed? @AppleSupport my phone is on silent...,2802460,@196914 Is it only Instagram that's having the issues? Let us know in Direct Message.,Wed Nov 22 01:07:56 +0000 2017
637460,271148,"@AppleSupport Itunes 12.7.1.14, there’s no unpdate option for me",637459,@271148 Thanks for that info! That's up-to-date for sure. Can you tell us if this is with a particular podcast or with all? Are you missing ones that were there before or not able to download new ones? Check out this article as well:,Wed Nov 22 19:13:32 +0000 2017
1245991,412302,@AppleSupport iOS 11.0.3 and still having the battery drain issue. Thanks for this Apple 😂,1245990,"@412302 Let's meet in DM where we can partner together to investigate, and offer the best path toward a solution.",Mon Oct 16 03:06:56 +0000 2017
2177356,638196,@AppleSupport @115858 you are providing very bad service to customer and moreover don’t even bother to reply on emails. Customer issues aren’t ur concern,2177355,@638196 We certainly want to get to the bottom of this with you. Please DM us details about your concerns to continue.,Thu Nov 09 15:35:00 +0000 2017
2060789,609489,@115858 fix this fucking battery life after that shitty update. Wtf,2060788,@609489 We're happy to look into issues with your battery. Let us know in DM what iOS version is installed to get started.,Sat Oct 07 17:52:27 +0000 2017
1870673,558685,"@AppleSupport the new iOS is awful. My phone has to be restarted daily due to calls & apps not working, and my home button stopped working",1870672,@558685 Thanks for reaching out. We'd like some details to help. Which iPhone model do these issues occur on? Let us know in a DM.,Thu Oct 19 23:01:00 +0000 2017
814907,314067,@AppleSupport phone messed up from updates 11.01.People can’t hear me.I was told can pay 300 for a new phone.But your updates broke myphone,814906,@314067 We want to help look into this. Reach out to us in DM and we will work together to find a solution.,Thu Oct 12 20:28:39 +0000 2017
1235997,409894,@AppleSupport And yes I have restarted loads of times,1236000,@409894 We'd like to take a closer look. Send us a DM and we can start there.,Mon Oct 16 02:13:56 +0000 2017
954241,225884,@AppleSupport Ahhhh yess I’m eligible! Thank you so much,954240,"@225884 You're welcome. If you have questions in the future, feel free to reach out to us here.",Sat Oct 21 21:06:30 +0000 2017
1548732,479425,What’s wrong with the “I” button on the @797 @115858. Tired of seeing these weird ass things on everything i type,1548731,@479425 We're here to help. Let's partner together on this in DM.,Sat Nov 04 02:43:25 +0000 2017
2975827,820707,"@115858 @AppleSupport @115948 The music app still asks to sync music with iphone, no Apple music at all, watch os 4.1",2975825,@820707 We want you to enjoy your Apple Watch; we'll do all we can to help. Are you trying to stream Apple Music with Apple Watch?,Tue Oct 31 20:05:00 +0000 2017
1951502,579560,@AppleSupport Do you fix iOS11.0.3 bugs one day?,1951501,@579560 We're happy to help. Send us a DM including which device you're using and the issue you're experiencing. We'll continue there.,Sun Oct 29 14:51:00 +0000 2017
1473860,462142,@AppleSupport Please Fix this. Y’all just put the update up yesterday,1473859,@462142 That's not okay. Let's take a look in DM. Follow us there using the link below:,Fri Nov 03 01:45:30 +0000 2017
2619740,740284,@AppleSupport will photos get copied to new mobile via new ios 11 new phone setup without iCloud photo library activated ?,2619739,"@740284 Great question. To access your iCloud Photos on a new device, you'll need to turn on iCloud Photo Library. Check out the following article for more information:",Fri Nov 17 15:42:32 +0000 2017
2795484,780074,@AppleSupport Is there a way to check the overall battery health of my iPhone 6S Plus?,2795483,@780074 We want to help. DM us and we'll work from there.,Tue Nov 21 22:16:54 +0000 2017
1734452,523771,@AppleSupport my phone just deleted all my pictures!! is it some sort of glitch or something???,1734451,"@523771 We'd like to get you in the best place for support. If you're missing photos, our team can help:",Tue Nov 07 13:36:32 +0000 2017
644207,272908,@AppleSupport IPhone 7+ and the latest update,644206,@272908 DM us using the link below. We'll work with you from there.,Wed Oct 18 21:58:33 +0000 2017
543648,246273,@121122 why does my iPhone keep shutting down? Brings up a loading screen every now and again?? @AppleSupport was really hot about an hour ago as well and it wasn’t on charge was just on the side,543647,"@246273 Thank you for that information. Create a current iTunes or iCloud backup, and follow the steps in this article:",Sat Dec 02 16:37:31 +0000 2017
1679255,510703,@115858 this is how fucked up that update was. Everything was just fine until that stupid update. Like why tf is my “I️” trying to be autocorrected to that stupid symbol. GET IT TOGETHER.,1679254,@510703 Here’s what you can do to work around the issue until it’s fixed in a future software update:,Mon Nov 06 15:35:01 +0000 2017
1096922,378851,"MBP and iPhone both crashing a lot now. Come on @AppleSupport, fix these issues.",1096921,@378851 Let's look into this for you. How often do you experience this? Let us know in DM:,Mon Oct 23 21:51:37 +0000 2017
1881814,184724,Since iOS 10 reporting this bug and where’s the fix for the Nov/2017 bug? @123857 @116333 @AppleSupport,1881813,"@184724 We'd be happy to look into this with you! Are you experiencing this, or just your friends? Let us know in a DM.",Sat Oct 21 18:42:00 +0000 2017
1648459,503602,@AppleSupport @115858 #siri Siri thinks the Apple store opens at 10. It’s closed until 11. I asked Siri who I should report the bug to...,1648458,@503602 We're here to help! DM us and we'll review your options.,Sun Nov 05 22:32:29 +0000 2017
1692565,513700,@AppleSupport fix the issue with “I️” thank you!,1692564,@513700 Here’s what you can do to work around the issue until it’s fixed in a future software update:,Mon Nov 06 17:32:13 +0000 2017
2298288,576626,@AppleSupport I’m from India. A friend of mine is flying from US and I want to get an iPhone X. The verizon version A1865 is the one that supports here. But while pre-ordering is it necessary to put Contract info? I cannot get the unlocked one?,2298287,"@576626 Thank you for reaching out about purchasing the iPhone X. To make certain you get the correct information, we recommend contacting our Sales Support team here:",Sun Nov 12 14:38:26 +0000 2017
594688,260898,@AppleSupport High Sierra I believe,594690,"@260898 Thanks for confirming. Is your network strong? Are you connected wirelessly or with an Ethernet connection? Also, are you able to see the progress bar moving?",Sun Dec 03 19:16:30 +0000 2017
2025160,598904,"@AppleSupport Yo, why do apps on my new macbook air keep freezing??? I've lost assignments and documents multiple times this semester. 🤬",2025159,@598904 We want to help. Send us a DM letting us know which version of OS is on this computer. Here's how:,Mon Nov 06 15:59:31 +0000 2017
1973904,584570,DL’d iOS 11.1 on my 6s Plus last night. Battery got so hot I was afraid it may bulge the phone housing. SEEMS to be okay now. @AppleSupport,1973903,"@584570 Thanks for reaching out. We're here for you. If this happens again, send us a DM, and we'll continue from there.",Wed Nov 01 13:41:58 +0000 2017
912842,336779,"@AppleSupport Yes, with both.",912844,@336779 Do also experience this issue with other apps like iTunes and App Store?,Fri Oct 13 20:16:29 +0000 2017
1367085,438237,@AppleSupport All settings match.,1367087,@438237 Be sure that you’ve got a current backup and update to iOS 11.1. Meet us in DM if you don't notice a change.,Thu Nov 02 17:46:28 +0000 2017
2711881,711897,I literally lost all my streaks on snapchat and couldn't reply to a text or call from work about coming in for extra hours. Really though @115858 y'all have pissed on my life big time.,2711880,"@711897 We want to help you with any issues you’re experiencing with your device. Send us some more details about what’s going on in DM, and we’ll work with you there.",Mon Nov 20 02:44:26 +0000 2017
2014398,595640,Yo @115858 why won’t the letter “I️” show up when I️ text/tweet/do whatever else ??,2014397,@595640 Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,Sun Nov 05 18:08:32 +0000 2017
1595002,490095,There it is again 🙃🙃🙃@AppleSupport wtf is this,1595001,@490095 We'd recommend trying the steps here: let us know in DM if the issue continues.,Sat Nov 04 21:31:27 +0000 2017
1037449,365418,@AppleSupport @115858 Since the new iOS update my phone keeps freezing - do you know why?,1037448,"@365418 Let's get that taken care of together. Is this behavior happening with all apps, or is it isolated to certain specific apps?",Sat Oct 14 18:09:00 +0000 2017
