sample_index,cluster,customer_text
2215,4,Replacement MacBook Pro does the same shit as the previous. @115858 needs to figure this shit out. @258943 I bet yours does this too? 😂 #MacBookProProblems
2582,4,": @115858 Siri still places a space before my first word when I dictate, live setting on camera ignores preserve toggle, rotation issues with keyboard... all low hanging fruit that make iOS feel cheap."
1662,7,"@AppleSupport Oh cool thanks, it’s no longer in my achievements though - you reckon it’ll still pull through within 9 days?"
3027,5,Ayo @115858 wtf is this question mark box I keep getting ???
4343,4,i’m soo mad my phone is not working right i think it has s virus @AppleSupport
2680,0,@115858 Also your “fix” doesn’t work!!!
1765,1,Is it normal to have an iPhone 7 as fast as an iPhone 4 after you put IOS 11 @AppleSupport ?
1123,2,@AppleSupport That’s exactly what I did. Set it up as a new iPhone phone and it still freezes. 😞
4054,1,@AppleSupport ios 11 drains battery can you fix this
3761,4,"@115858 I've a problem, the mac isnt overheat but the fan is on max, not only that it's turn on as soon as i start up the mac and tht it make the mac run reallt slow Went to the genius bar they reset my whole laptop problem solve but when im home the laptop still have the problem"
1535,7,"@AppleSupport not happy that on ordering it tells me ""signature required for delivery"" and then the shipping email tells me ""no signature"""
2944,4,"@115858 @117735 hey if you guys wanna help given that it was bought through you since your phone service people won't help, lmk"
2987,2,@419824 @115858 This happened to me a week or so ago. It seems the update reactivated the Background App Refresh. Once I turned it off it was fine.
4291,2,"@AppleSupport my phone isn’t downloading any apps that I haven’t already downloaded before, like it’ll get to the process where it starts to but it never does"
4342,7,@AppleSupport My laptop’s doing this again
4424,0,@115858 software update plz. I’m fed up with this
7941,7,@AppleSupport Thanks I think I figured it out.
4997,4,Just gave my I.T virus to my producer. What the hell is going on with our phones??? #iphone @115858 @AppleSupport
2748,1,"@AppleSupport my #iphone7’s battary life time has decreased sharply with this #IOS11 , I need to charge it twice daily !!"
2302,2,@AppleSupport I updated to 11.1.2 when the software was released. It still hasn’t helped unfortunately
3932,5,"@AppleSupport Every time when i use wahtsapp, instagram and Twitter"
5956,0,@115858 these new updates are awful. Still glitchy and what is this ➡️ I️
6131,5,Hey @AppleSupport what’s up with this I️ thing on all my social media
7596,2,@AppleSupport still no haptic feedback on iPhone keyboard 📱 after new update. ??? Has this been disabled.
794,1,@116333 plz do something for iphone 7plus battery. Its getting drained very quickly @AppleSupport @115858 @1542 @16166
3163,5,"@115858 over an hour on hold, failing to speak to someone at Southampton store!"
7940,2,@AppleSupport notifications issue in iOS 11.0.3-N on for phone&apps but banners do not show. Hard reset but still not working. Ideas?
3181,3,@AppleSupport everytime I️ type an “I️” it corrects it to this and I️ can’t stop it??
763,4,@115858 I found a bug in your software. When I flip my settings screen up from the bottom and turn off my WiFi ...
3078,4,@115858 @AppleSupport I tried to update my phone but it won't even start back up.. it was fine before this... why.
811,0,Is this update serious with the “I️” problem @115858
7259,4,"@AppleSupport thanks for the new emojis but my phone is still broken please advise. need to make calls, cannot. #iphone #apple #plannedobsolesence #brokeniphone #softwareupdate11"
6931,2,@AppleSupport My iPhone 7 screen has accidentally cracked :( What should I do? Plz help.
1618,6,@AppleSupport @115948 @115858 ooooor at least if one is playing music downloaded there wont be an interruption for either #ThinkAboutIt
6826,7,@AppleSupport How can I fix this.
1042,2,@AppleSupport I’ve only noticed it on WhatsApp so far. But it’s been happening since the first iOS11 update
5318,4,Hey @115858 your update has destroyed the life of my phone. What used to be all day is now 3 hrs and dead. #thissux
4794,2,Why isn’t the password sync working? Please don’t tell me to log out and in or clean install or something! @AppleSupport
487,2,@AppleSupport iPhone 5S keeps dying on 40%+ while on Snapchat app and 30%+ while on Netflix app. No extreme external temperatures. Why?
1017,2,@AppleSupport iPhone 7 Plus. This is the 3rd time I’ve seen it. Restart hasn’t worked. Also saw it with 11.0.1
2815,7,@115858 @AppleSupport I got this email and it takes you to this site. This is a scam right?
2716,7,@AppleSupport
5363,2,@321560 @AppleSupport I have an iPad Air 2 so it's def. not that. iOS 11 is a bit odd!
2929,4,"Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. @115858 why have you broken my phone?! It worked fine!"
3362,2,@AppleSupport Help! Where do I find my account balance for the App Store? Can’t find it since the iOS update...
5165,4,"Ever since the new update, my phone has become complete shit @115858"
1075,4,@115858 why does my Bluetooth turn on randomly?
6398,0,@115858 @AppleSupport nah bmt fix this glitch
4981,2,@AppleSupport I use iPhone 6s with iOS 11.1.1.
6228,4,@AppleSupport my phone FREEZES when i play @210685 even after the shitty ass update you guys did fix this
2921,7,@AppleSupport Already tried that and it doesn’t work so.....
4019,4,@115858 has to stop making our phones suck once a new one comes out.
4331,3,@AppleSupport why is my phone changing letters to symbols
6999,0,@115858 fix my shit please and thank you I️ shouldn’t have to do all those steps. Push out another update please 😊
1322,6,@AppleSupport It shows up there but not in my library or in my purchased music
7731,2,@AppleSupport I could make calls but couldn’t receive. I have spoken with @122326 do not disturb wasn’t on but was still blocking calls. Could it be a bug in iOS 11.1.1?
2252,0,@115858 can y’all fix this stupid ass glitch
6654,6,@AppleSupport Yes. Also my ringtones don’t work anymore either.
7244,2,"@AppleSupport hi, I’d like to know if this faulty is covered under warranty"
866,0,@115858 ya needa fix this problem with the letter “i” like it’s rlly annoying thx
5591,5,@115858 @AppleSupport what the hell is going on... why is everyone’s phone doing this now I️ I️ I️ I️ when we type the letter “i”
2465,6,@AppleSupport ok ill try it with my friends headphones tomorrow and see if it's just those that don't work and about a week and half now
465,6,WHY DOES AN ALBUM I BOUGHT ON ITUNES KEEP SKIPPING? #frustrated @115858
2882,3,@AppleSupport so the “I” issue is fixed but now when I type “it” autocorrect does this - I.T WHY
4961,0,@115858 Guys you need to fix the I️ glitch it showing up weird. Had to manually fix mine 🙄 I️
7042,0,@115858 what the fuck
6240,5,@AppleSupport Why does Maps think I live at the wrong end of my road? I have screenshots but don’t want to share publicly…
5447,4,"@115858 before I updated my phone to i011 it held a charge almost all day, now it can’t go 1 hour worth of using.... can you explain this?😡😤"
1502,5,real talk how yall fuckin up the letter “i”? the shits been apart of your products moniker for literally a WHOLE decade @AppleSupport @115858
3915,4,"#IOS11.0.2: Upgraded and found the phone lagging in all areas. Should not have upgraded. @115858, when r u fixing this?"
3262,5,the iPhone i have to send back to the store won’t let me sign outa my Apple ID to factory reset… @AppleSupport
263,7,What’s up with this question inside of the box @AppleSupport @115858 ???!!!???!!!
3806,5,All my texts are from yesterday what’s good ? @AppleSupport
4084,2,@AppleSupport when are you guys gonna bring a fix out for all the iphones you’ve trashed with ios11? Mines keeps crashing
7839,0,Ugh! @115858 #photos #messages #screenshots are a mess!! Please fix it. It WAS fine!!!
1811,5,my phone was stolen & this picture showed up on my icloud @AppleSupport
1144,2,@AppleSupport Since updating MacOS new LinkedIn contacts and info do not land in Contacts anymore. Accounts are still linked. Any clue?
5827,2,@AppleSupport please tell me why my 6S+ turns into a potato when trying to import photos with an apple sd card reader?? #ios11istrash
2149,7,"Also, @AppleSupport for sure fix the question mark glitch..."
3929,6,@AppleSupport It doesn't pause but continues to play.
6319,1,"@AppleSupport good evening, I think my battery is getting low too fast. Can you run a test, please?"
3290,5,What is wrong with my I️ @AppleSupport and my “it” turns into I.T ......what are y’all doing with these phones? I’m bout to max!
682,2,"@AppleSupport Finally updated my watchOS, now every time I glance at my watch (no matter the face), it’s on Stopwatch?!"
2840,6,"@AppleSupport I WAS excited until I wasn't able to download or listen to the album, same thing that happens to me with Beyonce's Lemonade, album that was released ""a few MONTHS ago"" and I was never able to download after o purchased it on iTunes"
1002,3,"This new update doesn’t let me see the letter I, and has my phone freezing all the time. Fix it 😒, plus it drains my battery 😒. @AppleSupport"
6755,7,@AppleSupport is this email as bogus as I think it is? @115858
5129,2,@AppleSupport Thank you ! I will not erase my iPad Pro to see if the problem is solved ... look more and more like windows your iOS
4290,2,Okay that’s weird @AppleSupport how do I enable Pay with the 11.2 update? Seems like the watchOS has no updates like 4.2?
2173,1,@AppleSupport hi Apple. I bought a new iPhone 7 yesterday! It already had iOS 11 on it. I do feel however like my battery is dropping quickly despite it being new! What do I do?
483,6,You know what I’d like? To have cloud music on without I removing the option to select my playlists thanks @AppleSupport I don’t have WiFi at work.
3813,5,@115858 I Found an iPad on the train how can I return it to its rightful owner?
4414,2,"@162401 @AppleSupport I bought Minecraft ages ago in the App Store. It doesn’t register as purchased anymore. Help, please?"
