message_id,human_overall_score,llm_overall_score
4cfa55f1-519c-47de-bd6b-031ac1eaabaa,1,3.2
f6e3b014-1538-420f-b665-7ba7ce92f1f1,1,3.2
b76fc0a1-ed77-4ce8-8984-148e8f3b43e2,2,3.2
5edef395-6f50-4356-9cae-775d3feac884,3,3.2
b0d15a79-40fd-48c5-893f-a0e905ba49fc,3,3.2
e58d7a7f-227b-4de6-916f-b2f71b638049,4,3.2
379a2a7e-d704-49e4-ac15-8268d15ea10a,4,3.2
c0cc34a1-aae2-4cd7-ba29-d5d58ec88d3c,2,3.2
332c3945-44c2-4a0b-bdd3-b31b1e500b2d,1,3.2
a6dd9b73-372d-41a9-bc74-7e3fc1c4054e,2,3.2
d9bb1f69-b9ee-4569-bda1-a5a4d3888bec,3,3.2
cd851c09-81b9-46db-adc9-35ac56045f4b,4,3.2
66904184-9135-40d0-9855-1f0c24f31ecf,5,3.2
cc25e927-020b-4fcb-a4b9-aac82c18417f,5,3.2
d00ac889-5b2d-44df-84e9-887cc58f8381,5,3.2
3e648101-6ec9-445b-a2c9-5f23de792da9,4,3.2
8dec07d4-532e-482c-8549-6ba9cb836525,3,3.2
7fa77145-c750-4196-9581-6443b424e915,2,3.2
61f33f37-cdb7-4acc-84b6-1e758d756cf4,2,3.2
